,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,frozenset({726718}),frozenset({4628597}),0.01560688738726003,0.06717747179733666,0.001922587576691453,0.12318840579710146,1.8337755575074415,0.0008741563393895831,1.063880238776591
12,frozenset({803921}),frozenset({3524026}),0.018349402018716956,0.03491758319432271,0.0019791342701235546,0.10785824345146379,3.0889378239958076,0.0013384174985689322,1.0817590475075727
13,frozenset({3524026}),frozenset({803921}),0.03491758319432271,0.018349402018716956,0.0019791342701235546,0.05668016194331984,3.088937823995808,0.0013384174985689322,1.040633895714064
14,frozenset({803921}),frozenset({3978011}),0.018349402018716956,0.03189233509570528,0.0026294212445927227,0.1432973805855162,4.493160508802413,0.002044215966605991,1.1300393426670634
15,frozenset({3978011}),frozenset({803921}),0.03189233509570528,0.018349402018716956,0.0026294212445927227,0.0824468085106383,4.493160508802413,0.002044215966605991,1.0698568835969926
16,frozenset({803921}),frozenset({4108011}),0.018349402018716956,0.03553959682207583,0.0013005739489383359,0.07087827426810478,1.9943466050824168,0.0006484435992669509,1.0380344969526911
17,frozenset({4108011}),frozenset({803921}),0.03553959682207583,0.018349402018716956,0.0013005739489383359,0.0365950676213206,1.9943466050824166,0.0006484435992669509,1.0189387296965093
18,frozenset({803921}),frozenset({4628597}),0.018349402018716956,0.06717747179733666,0.0021205010037038084,0.11556240369799692,1.720255326765342,0.0008878345670934578,1.054707004884196
19,frozenset({4628597}),frozenset({803921}),0.06717747179733666,0.018349402018716956,0.0021205010037038084,0.03156565656565656,1.720255326765342,0.0008878345670934578,1.0136470320745452
20,frozenset({4628597}),frozenset({1832285}),0.06717747179733666,0.012525092595210495,0.0018377675365433006,0.027356902356902354,2.184167673727493,0.0009963634819695174,1.0152489744672348
21,frozenset({1832285}),frozenset({4628597}),0.012525092595210495,0.06717747179733666,0.0018377675365433006,0.14672686230248305,2.1841676737274924,0.0009963634819695174,1.0932285185020632
